Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1742306778.3769147,23,1742306778,374341030,gps,0,1,-19.869515265,-43.964143408333335,807.6539916992188,53.29000278472904,0.0,0.0,0.0,37.35654386010742,0.0,0.0,0.0,418.652539108185,1
1742306779.3827274,24,1742306779,376846214,gps,-1,1,-19.8695173,-43.964145609999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306780.3852606,25,1742306780,382670238,gps,-1,1,-19.86952034833333,-43.96414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306781.3889952,26,1742306781,385185871,gps,-1,1,-19.869522465,-43.96415177666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306782.391676,27,1742306782,388903735,gps,0,1,-19.869524911666666,-43.964154486666665,807.9190063476562,53.27539788153081,0.0,0.0,0.0,37.368767973953254,0.0,0.0,0.0,419.22564062118545,1
1742306783.3971832,28,1742306783,391626904,gps,0,1,-19.869527001666665,-43.96415729333333,807.9619750976562,53.27539788153081,0.0,0.0,0.0,37.368767973953254,0.0,0.0,0.0,419.34851024743693,1
1742306784.3996203,29,1742306784,396543038,gps,0,1,-19.869528831666667,-43.96416031166667,807.9550170898438,53.27539788153081,0.0,0.0,0.0,37.368767973953254,0.0,0.0,0.0,419.51233837640393,1
1742306785.4052815,30,1742306785,399675446,gps,0,1,-19.869530705,-43.964163459999995,807.927978515625,53.27539788153081,0.0,0.0,0.0,37.38099408750918,0.0,0.0,0.0,419.6352500061039,1
1742306786.4079964,31,1742306786,405040553,gps,0,1,-19.869532516666666,-43.96416611833333,807.8480224609375,53.27539788153081,0.0,0.0,0.0,37.38099408750918,0.0,0.0,0.0,419.7581796389168,1
1742306787.4129422,32,1742306787,407859005,gps,0,1,-19.869534641666668,-43.96416864166666,807.81201171875,53.27539788153081,0.0,0.0,0.0,37.38099408750918,0.0,0.0,0.0,419.92208776391635,1
1742306788.4160438,33,1742306788,412287529,gps,0,1,-19.869536853333333,-43.964171328333336,807.8510131835938,53.27539788153081,0.0,0.0,0.0,37.38099408750918,0.0,0.0,0.0,420.0450594001777,1
1742306789.42088,34,1742306789,415959171,gps,0,1,-19.869539228333334,-43.96417407666666,807.875,53.27539788153081,0.0,0.0,0.0,37.3932222007752,0.0,0.0,0.0,420.2090235208743,1
1742306790.4233217,35,1742306790,420793240,gps,0,1,-19.869541455,-43.96417706833333,807.885009765625,53.27539788153081,0.0,0.0,0.0,37.3932222007752,0.0,0.0,0.0,420.33203716058415,1
1742306791.4262934,36,1742306791,423246499,gps,0,1,-19.86954356833333,-43.964179865000006,807.9080200195312,53.27539788153081,0.0,0.0,0.0,37.3932222007752,0.0,0.0,0.0,420.45499058303903,1
1742306792.4288578,37,1742306792,425987992,gps,0,1,-19.86954561166667,-43.964182741666676,807.9229736328125,53.27539788153081,0.0,0.0,0.0,37.40545814642337,0.0,0.0,0.0,420.6191129201361,1
1742306793.4331555,38,1742306793,428738461,gps,0,1,-19.869547675,-43.96418584833334,807.9210205078125,53.27539788153081,0.0,0.0,0.0,37.40545814642337,0.0,0.0,0.0,420.7421083193367,1
1742306794.436919,39,1742306794,432983750,gps,0,1,-19.869549595000002,-43.964188676666666,807.9819946289062,53.26080193986513,0.0,0.0,0.0,37.40545814642337,0.0,0.0,0.0,420.86519995727576,1
1742306795.439203,40,1742306795,436461918,gps,0,1,-19.869551693333335,-43.96419191500001,807.9829711914062,53.26080193986513,0.0,0.0,0.0,37.40545814642337,0.0,0.0,0.0,421.02932405477986,1
1742306796.4429138,41,1742306796,439162640,gps,0,1,-19.86955363,-43.96419508666666,808.0120239257812,51.19402800235753,0.0,0.0,0.0,35.55736686177829,0.0,0.0,0.0,389.8650581413276,1
1742306797.4452167,42,1742306797,442746516,gps,0,1,-19.86955553,-43.964198063333335,808.0380249023438,51.179713216384926,0.0,0.0,0.0,35.55736686177829,0.0,0.0,0.0,389.9834720589606,1
1742306798.447379,43,1742306798,444967952,gps,0,1,-19.869557433333334,-43.96420104166667,808.031982421875,51.179713216384926,0.0,0.0,0.0,35.55736686177829,0.0,0.0,0.0,390.0625,1
1742306799.4505773,44,1742306799,447307907,gps,0,1,-19.869559406666667,-43.96420405333333,808.0800170898438,51.179713216384926,0.0,0.0,0.0,35.56929868460088,0.0,0.0,0.0,390.1810192478333,1
1742306800.4551234,45,1742306800,450244085,gps,0,1,-19.869561400000002,-43.96420694166667,808.1199951171875,51.179713216384926,0.0,0.0,0.0,35.56929868460088,0.0,0.0,0.0,390.25999184188913,1
1742306801.4589756,46,1742306801,455049262,gps,0,1,-19.86956362,-43.964210108333326,808.1160278320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
